Annotation	NeuronalStrRep	Neuronal
ACH1	Yes	True
ACH2	Yes	True
ACH3	Yes	True
CCAP	No	False
DOP1	Yes	True
DOP2	Yes	True
DOP3	Yes	True
EC	No	False
FBL	No	False
GABA	Yes	True
GLIA1	No	False
GLIA2	No	False
GLIA3	No	False
GLUT1	Yes	True
GLUT2	Yes	True
GLUT3	Yes	True
GLUT4	Yes	True
HC	No	False
IGL1-OA	Yes	True
IGL2-GLUT/DOP	Yes	True
IGL3	Yes	True
IGL4-L11	Yes	True
OA	Yes	True
OGL1	Yes	True
OGL2-DOP	Yes	True
OGL3-OA	Yes	True
PEP-APWG	Yes	True
PEP-Burs	Yes	True
PEP-Fmrfa1	Yes	True
PEP-Fmrfa3	Yes	True
PREC	Yes	True
SERT	Yes	True
SUB	Yes	True
VL	Yes	True
