Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolate,Isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,Tissue,BIOMATERIAL_PROVIDER,collected_by,sex,dev_stage,host_tissue_sampled
SRR2048495,RNA-Seq,200,3200000000,PRJNA285380,SAMN03744437,Invertebrate,1284833284,UC BERKELEY,2011,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1045435,USA,North America,USA:California,Illumina HiSeq 2000,wild caught,Pacific Ocean,Obimac_sub,PAIRED,PolyA,TRANSCRIPTOMIC,Octopus bimaculoides,ILLUMINA,2015-06-03T00:00:00Z,2015-10-02T10:40:00Z,2,Octopus bimaculoides Subesophageal Brain,SRP058882,subesophageal brain,"Carrie Albertin\, Clifton Ragsdale","Crissy Huffard\, Roy Caldwell",female,,
SRR2048496,RNA-Seq,200,3200000000,PRJNA285380,SAMN03744437,Invertebrate,1289577469,UC BERKELEY,2011,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX1045435,USA,North America,USA:California,Illumina HiSeq 2000,wild caught,Pacific Ocean,Obimac_sub,PAIRED,PolyA,TRANSCRIPTOMIC,Octopus bimaculoides,ILLUMINA,2015-06-03T00:00:00Z,2015-10-02T10:36:00Z,2,Octopus bimaculoides Subesophageal Brain,SRP058882,subesophageal brain,"Carrie Albertin\, Clifton Ragsdale","Crissy Huffard\, Roy Caldwell",female,,
SRR2048497,RNA-Seq,200,3200000000,PRJNA285380,SAMN03744437,Invertebrate,1294777352,UC BERKELEY,2011,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1045435,USA,North America,USA:California,Illumina HiSeq 2000,wild caught,Pacific Ocean,Obimac_sub,PAIRED,PolyA,TRANSCRIPTOMIC,Octopus bimaculoides,ILLUMINA,2015-06-03T00:00:00Z,2015-10-02T10:31:00Z,2,Octopus bimaculoides Subesophageal Brain,SRP058882,subesophageal brain,"Carrie Albertin\, Clifton Ragsdale","Crissy Huffard\, Roy Caldwell",female,,
SRR2048498,RNA-Seq,200,3200000000,PRJNA285380,SAMN03744437,Invertebrate,1297222169,UC BERKELEY,2011,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX1045435,USA,North America,USA:California,Illumina HiSeq 2000,wild caught,Pacific Ocean,Obimac_sub,PAIRED,PolyA,TRANSCRIPTOMIC,Octopus bimaculoides,ILLUMINA,2015-06-07T00:00:00Z,2015-10-02T10:27:00Z,2,Octopus bimaculoides Subesophageal Brain,SRP058882,subesophageal brain,"Carrie Albertin\, Clifton Ragsdale","Crissy Huffard\, Roy Caldwell",female,,
SRR2048521,RNA-Seq,200,3200000000,PRJNA285380,SAMN03744436,Invertebrate,1286972062,UC BERKELEY,2011,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX1045432,USA,North America,USA:California,Illumina HiSeq 2000,wild caught,Pacific Ocean,Obimac_supra,PAIRED,PolyA,TRANSCRIPTOMIC,Octopus bimaculoides,ILLUMINA,2015-06-03T00:00:00Z,2015-10-02T10:22:00Z,2,Octopus bimaculoides Supraesophageal Brain,SRP058882,supraesophageal brain,"Carrie Albertin\, Clifton Ragsdale","Crissy Huffard\, Roy Caldwell",female,,
SRR2048522,RNA-Seq,200,3200000000,PRJNA285380,SAMN03744436,Invertebrate,1293991532,UC BERKELEY,2011,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX1045432,USA,North America,USA:California,Illumina HiSeq 2000,wild caught,Pacific Ocean,Obimac_supra,PAIRED,PolyA,TRANSCRIPTOMIC,Octopus bimaculoides,ILLUMINA,2015-06-03T00:00:00Z,2015-10-02T10:16:00Z,2,Octopus bimaculoides Supraesophageal Brain,SRP058882,supraesophageal brain,"Carrie Albertin\, Clifton Ragsdale","Crissy Huffard\, Roy Caldwell",female,,
SRR2048523,RNA-Seq,200,3200000000,PRJNA285380,SAMN03744436,Invertebrate,1298382674,UC BERKELEY,2011,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX1045432,USA,North America,USA:California,Illumina HiSeq 2000,wild caught,Pacific Ocean,Obimac_supra,PAIRED,PolyA,TRANSCRIPTOMIC,Octopus bimaculoides,ILLUMINA,2015-06-03T00:00:00Z,2015-10-02T10:12:00Z,2,Octopus bimaculoides Supraesophageal Brain,SRP058882,supraesophageal brain,"Carrie Albertin\, Clifton Ragsdale","Crissy Huffard\, Roy Caldwell",female,,
SRR2048524,RNA-Seq,200,3200000000,PRJNA285380,SAMN03744436,Invertebrate,1304941091,UC BERKELEY,2011,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX1045432,USA,North America,USA:California,Illumina HiSeq 2000,wild caught,Pacific Ocean,Obimac_supra,PAIRED,PolyA,TRANSCRIPTOMIC,Octopus bimaculoides,ILLUMINA,2015-06-06T00:00:00Z,2015-10-02T10:07:00Z,2,Octopus bimaculoides Supraesophageal Brain,SRP058882,supraesophageal brain,"Carrie Albertin\, Clifton Ragsdale","Crissy Huffard\, Roy Caldwell",female,,
SRR2048525,RNA-Seq,200,2675415200,PRJNA285380,SAMN03744436,Invertebrate,1098221171,UC BERKELEY,2011,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX1045432,USA,North America,USA:California,Illumina HiSeq 2000,wild caught,Pacific Ocean,Obimac_supra,PAIRED,PolyA,TRANSCRIPTOMIC,Octopus bimaculoides,ILLUMINA,2015-06-03T00:00:00Z,2015-10-02T10:01:00Z,2,Octopus bimaculoides Supraesophageal Brain,SRP058882,supraesophageal brain,"Carrie Albertin\, Clifton Ragsdale","Crissy Huffard\, Roy Caldwell",female,,
SRR2045866,RNA-Seq,202,5625567488,PRJNA285380,SAMN03272998,Invertebrate,2197378921,UC BERKELEY,2013,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX1044303,USA,North America,USA: California,Illumina HiSeq 2000,wild caught,Pacific Ocean,Sample_CR-19_Ova,PAIRED,PolyA,TRANSCRIPTOMIC,Octopus bimaculoides,ILLUMINA,2015-06-02T00:00:00Z,2015-10-05T12:02:00Z,3,Octopus bimaculoides ova,SRP058882,ova,"Carrie Albertin\, Clifton Ragsdale","Carrie Albertin\, University of Chicago",female,,ova
SRR2045870,RNA-Seq,202,7421473738,PRJNA285380,SAMN03744423,Invertebrate,2947911257,UC BERKELEY,2012-12,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1044305,USA,North America,USA:California,Illumina HiSeq 2000,wild caught,Pacific Ocean,Obimac_testes,PAIRED,PolyA,TRANSCRIPTOMIC,Octopus bimaculoides,ILLUMINA,2015-06-02T00:00:00Z,2015-10-05T12:28:00Z,3,Octopus bimaculoides testes,SRP058882,testes,,,male,,
SRR2047107,RNA-Seq,202,7195019012,PRJNA285380,SAMN03744430,Invertebrate,2843198500,UC BERKELEY,2012,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX1045409,USA,North America,USA:California,Illumina HiSeq 2000,wild caught,Pacific Ocean,Obimac_psg,PAIRED,PolyA,TRANSCRIPTOMIC,Octopus bimaculoides,ILLUMINA,2015-06-02T00:00:00Z,2015-10-05T12:25:00Z,3,Octopus bimaculoides Posterior Salivary Gland,SRP058882,posterior salivary gland,"Carrie Albertin\, Clifton Ragsdale","Crissy Huffard\, Roy Caldwell",male,,
SRR2047109,RNA-Seq,202,7924386068,PRJNA285380,SAMN03744431,Invertebrate,3134016147,UC BERKELEY,2012,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX1045410,USA,North America,USA:California,Illumina HiSeq 2000,wild caught,Pacific Ocean,Obimac_skin,PAIRED,PolyA,TRANSCRIPTOMIC,Octopus bimaculoides,ILLUMINA,2015-06-02T00:00:00Z,2015-10-05T12:29:00Z,3,Octopus bimaculoides Skin,SRP058882,skin,"Carrie Albertin\, Clifton Ragsdale","Crissy Huffard\, Roy Caldwell",,,
SRR2047111,RNA-Seq,202,7092093952,PRJNA285380,SAMN03744432,Invertebrate,2788896427,UC BERKELEY,2012,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX1045411,USA,North America,USA:California,Illumina HiSeq 2000,wild caught,Pacific Ocean,Obimac_suckers,PAIRED,PolyA,TRANSCRIPTOMIC,Octopus bimaculoides,ILLUMINA,2015-06-02T00:00:00Z,2015-10-05T12:54:00Z,3,Octopus bimaculoides Suckers,SRP058882,suckers,"Carrie Albertin\, Clifton Ragsdale","Crissy Huffard\, Roy Caldwell",male,,
SRR2047116,RNA-Seq,202,6363660338,PRJNA285380,SAMN03744434,Invertebrate,2514450214,UC BERKELEY,2012,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1045414,USA,North America,USA:California,Illumina HiSeq 2000,wild caught,Pacific Ocean,Obimac_retina,PAIRED,PolyA,TRANSCRIPTOMIC,Octopus bimaculoides,ILLUMINA,2015-06-02T00:00:00Z,2015-10-05T12:25:00Z,3,Octopus bimaculoides Retina,SRP058882,retina,"Carrie Albertin\, Clifton Ragsdale","Crissy Huffard\, Roy Caldwell",male,,
SRR2047118,RNA-Seq,202,6115617468,PRJNA285380,SAMN03744435,Invertebrate,2397010758,UC BERKELEY,2012,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX1045415,USA,North America,USA:California,Illumina HiSeq 2000,wild caught,Pacific Ocean,Obimac_ol,PAIRED,PolyA,TRANSCRIPTOMIC,Octopus bimaculoides,ILLUMINA,2015-06-02T00:00:00Z,2015-10-05T12:24:00Z,3,Octopus bimaculoides Optic Lobe,SRP058882,optic lobe,"Carrie Albertin\, Clifton Ragsdale","Crissy Huffard\, Roy Caldwell",male,,
SRR2047120,RNA-Seq,202,6271215038,PRJNA285380,SAMN03744438,Invertebrate,2469381097,UC BERKELEY,2012,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1045418,USA,North America,USA:California,Illumina HiSeq 2000,wild caught,Pacific Ocean,Obimac_anc,PAIRED,PolyA,TRANSCRIPTOMIC,Octopus bimaculoides,ILLUMINA,2015-06-02T00:00:00Z,2015-10-05T12:23:00Z,3,Octopus bimaculoides Axial Nerve Cord,SRP058882,axial nerve cord,"Carrie Albertin\, Clifton Ragsdale","Crissy Huffard\, Roy Caldwell",female,,
SRR2047122,RNA-Seq,202,7176810530,PRJNA285380,SAMN03744429,Invertebrate,2833308300,UC BERKELEY,2012,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX1045423,USA,North America,USA:California,Illumina HiSeq 2000,wild caught,Pacific Ocean,Obimac_viscera,PAIRED,PolyA,TRANSCRIPTOMIC,Octopus bimaculoides,ILLUMINA,2015-06-02T00:00:00Z,2015-10-05T12:25:00Z,3,Octopus bimaculoides Viscera,SRP058882,"hepatopancreas\, kidney\, heart","Carrie Albertin\, Clifton Ragsdale","Crissy Huffard\, Roy Caldwell",,,
